statement;wave;veracity;statements;url;satire
T5;6;T;Senator Elizabeth Warren, a Democratic candidate for President, has proposed canceling up to $50K of student loan debt for families that make less than $250K a year.;https://www.forbes.com/sites/zackfriedman/2019/04/22/student-loan-forgiveness-elizabeth-warren/;0
T6;6;T;Former Vice President Joe Biden has announced that he is running for President in the 2020 election.;https://abcnews.go.com/Politics/vice-president-joe-biden-announce-hes-entering-2020/story?id=62558852;0
T7;6;T;Presidential candidate Bernie Sanders says that convicted felons should be allowed to vote from prison.;https://www.foxnews.com/politics/bernie-sanders-boston-marathon-bomber-sexual-assault-should-be-allowed-vote;0
T8;6;T;Addressing the House of Parliament, a 16-year-old Swedish girl accused British politicians of failing to act on climate change because they want to protect the status quo.;http://www.theguardian.com/environment/2019/apr/23/greta-thunberg-full-speech-to-mps-you-did-not-act-in-time;0
T9;6;T;Senator Elizabeth Warren (D-Massachusetts) has called on the House of Representatives to begin impeachment proceedings against President Trump.;https://www.nbcnews.com/politics/congress/impeachment-talk-among-democrats-heats-after-mueller-report-n996401;0
T10;6;T;President Trump has sued his own accounting firm and the Democratic chairman of the House Oversight committee in an effort to block the committee's access to his past financial dealings.;https://www.washingtonpost.com/politics/trump-sues-in-bid-to-block-congressional-subpoena-of-financial-records/2019/04/22/a98de3d0-6500-11e9-82ba-fcfeff232e8f_story.html;0
T1;7;T;President Donald Trump declared over $1 billion in business losses between 1985 and 1994.;https://www.nytimes.com/interactive/2019/05/07/us/politics/donald-trump-taxes.html;0
T2;7;T;President Trump retweeted a proposal by Jerry Falwell Jr., president of Liberty University, that he be given two more years in office to make up for time lost to the Russia investigation. ;https://www.washingtonpost.com/nation/2019/05/06/claiming-two-years-his-presidency-were-stolen-trump-suggests-hes-owed-overtime/;0
T3;7;T;A team of international experts has concluded that human-caused changes to the environment have put as many as one million plant and animal species at risk of extinction. ;https://www.nytimes.com/2019/05/06/climate/biodiversity-extinction-united-nations.html;0
T4;7;T;The U.S. deployed an aircraft carrier strike group to the Middle East in response to “clear indications” that Iran and Iranian proxies were planning an attack on U.S. forces in the region. ;https://abcnews.go.com/International/aircraft-carrier-middle-east-indications-iran-planned-attack/story?id=62843182;0
T5;7;T;Georgia Governor Brian Kemp has signed a law that prohibits abortion after a heartbeat is detected in an embryo, which occurs often before women know they are pregnant.;https://www.cbsnews.com/news/georgia-abortion-law-governor-brian-kemp-signs-heartbeat-abortion-bill-into-law-today-2019-05-07/;0
T6;7;T;The California state senate approved a bill requiring that presidential candidates release five years’ worth of income tax returns in order to appear on the state’s presidential primary ballot.;https://thehill.com/homenews/state-watch/441908-california-senate-passes-bill-that-would-keep-trump-off-2020-ballot;0
T7;7;T;White House press secretary Sarah Sanders said that President Trump and Russian President Putin recently discussed the Mueller report and agreed that it offered no evidence of collusion.;https://www.nbcnews.com/politics/white-house/trump-putin-discussed-mueller-report-agreed-no-collusion-white-house-n1001706;0
T8;7;T;A recently released video of Sandra Bland’s 2015 arrest by Texas state trooper Brian Encinia casts doubt on the trooper’s claim that he feared for his safety when making the arrest.;https://www.nytimes.com/2019/05/07/us/sandra-bland-texas-video.html;0
T9;7;T;More than 3 million senior citizens in the U.S. are still paying off their student loans, and all together they owe more than $86 billion.;https://www.businessinsider.com/americans-over-60-paying-student-loans-2019-5;0
T10;7;T;One student was killed and eight others injured at a school shooting in Highlands Ranch, Colorado on Tuesday, May 7.;https://www.nytimes.com/2019/05/07/us/colorado-school-shooting.html;0
T1;8;T;Billionaire Robert Smith pledged to pay off the student debt of all 400 members of Morehouse College’s Class of 2019 while giving the schools’ commencement address.;https://www.ajc.com/news/just-morehouse-commencement-speaker-pay-off-class-2019-student-loans/XvMHlS1SVyJiG3mRp1WOWL/;0
